icpc2ChapterId;icpc2Code;descriptionNL
18;*67.73;hospitalisatie neurochirurgie
18;*33.56;Chlamydia (EIA) dosering
18;*67.72;hospitalisatie neurologie
18;*33.55;Gonococcus (EIA) dosering
18;*67.71;verwijzing neurofysioloog
18;*33.58;bof IgM (EIA) dosering
18;*67.70;verwijzing neurochirurg
18;*33.57;Mycoplasma pneumoniae IgM dosering
18;*33.52;Toxoplasma IgM (EIA) dosering
18;*33.51;Toxoplasma IgG (EIA) dosering
18;*33.54;streptococcen A antigeen dosering
18;*33.53;Chlamydia (EIA) dosering
18;*67.69;verwijzing neuroloog
18;*44.30;preventie oogontsteking pasgeborene
18;*44.31;vaccinatie windpokken/varicella
18;*67.67;hospitalisatie orthopedie
18;*33.60;Rotavirus AL dosering
18;*44.32;vaccinatie HPV
18;*67.68;hospitalisatie traumatologie
18;*33.61;adenovirus AL dosering
18;*44.33;vaccinatie rotavirus
18;*67.65;hospitalisatie reumatologie
18;*67.66;hospitalisatie fysiotherapie/revalidatie
18;*67.63;verwijzing orthopedist
18;*67.64;verwijzing traumatoloog
2;B80;iJzergebrekanemie
2;B83;purpura/stollingsstoornis
;;andere/niet gespecificeerde anemie
;B84;abnormale leukocyten
18;*67.60;hospitalisatie cardiochirurgie
18;*33.69;IgE mengsel grassen gx3 dosering
18;*33.68;Dermat. pteronyssinus dosering
18;*67.62;verwijzing fysiotherapeut
18;*33.67;anti-ENA dosering
18;*67.61;verwijzing reumatoloog
18;*33.66;parietale AL dosering
18;*33.65;Coombs direct
18;*33.64;Coombs indirect
18;*33.63;TPHA
18;*33.62;VDRL
18;*67.56;verwijzing vasculair chirurg
18;*33.71;IgE mengsel epitheel ex1 dosering
18;*44.20;vaccinatie mazelen
18;*67.57;verwijzing holter registratie
18;*33.72;IgE mengsel kruiden wx5 dosering
18;*44.21;vaccinatie rubella
18;*67.58;hospitalisatie cardiologie
18;*67.59;hospitalisatie vasculaire chrirurgie
18;*33.70;IgE mengsel bomen tx5 dosering
18;*67.52;verwijzing ORL chirurg
18;*44.24;vaccinatie tuberculose BCG
18;*67.53;hospiatlisatie ORL
18;*44.25;desensibilisatie
18;*67.54;verwijzing cardioloog
18;*44.22;vaccinatie griep
18;*67.55;verwijzing cardiovasculair chirurg
18;*44.23;vaccinatie pneumococcen
2;B75;benigne/niet gespecificeerd neoplasma bloed/lymfestelsel
18;*44.28;andere vaccinatie
2;B76;traumatische miltruptuur
18;*44.29;toediening anti-D immunoglobulines
2;B77;ander letsel bloed/lymfestelsel/milt
18;*44.26;preventieve medicatie neg
2;B78;erfelijke hemolytische anemie
18;*44.27;preventieve gammaglobulines
;;andere aangeboren afwijking bloed/lymfestelsel
2;B90;hIV-infectie/AIDS
18;*67.91;verwijzing endocrinoloog
18;*33.74;IgE huisstof nr 1 dosering
18;*67.90;verwijzing voedingsspecialist
18;*33.73;IgE mengsel bomen tx6 dosering
18;*33.76;IgE mengsel voedsel dosering
18;*33.75;IgE mengsel kruiden wx6 dosering
18;*67.95;hospitalisatie endocrinologie
18;*38.12;opzoeken van bloed in maag en duodenumsappen
18;*33.78;IgE mengsel schimmels mx1 dosering
18;*38.13;hielprik voor PKU-diagnostiek
18;*67.94;hospitalisatie dieetafdeling
18;*33.77;IgE epitheel van katten dosering
18;*67.93;verwijzing endocrien chirurg
;;abnormale uitslag urine-onderzoek nao
18;*67.92;verwijzing diabetoloog
13;U99;andere ziekte urinewegen
18;*33.79;IgE haar- en huidschilfers hond dosering
18;*67.87;verwijzing dermatoloog
;;
18;*67.88;hospitalisatie dermatologie
;;
18;*67.85;hospitalisatie pneumologie
6;K85;verhoogde bloeddruk
18;*67.86;hospitalisatie thoracale heelkunde
;;
18;*33.80;IgE Dermat.farinae dosering
18;*33.81;IgE huisstof nr 2 dosering
18;*67.89;hospitalisatie uitgebreide brandwonden
;;
18;*33.82;IgE latex dosering
18;*33.83;IgE koemelk dosering
13;U90;orthostatische prote…nurie/albuminurie
;;
;;
6;K84;andere hartziekte
;;hartgeruis/vaatgeruis nao
;;
2;B87;splenomegalie
18;*67.102;verwijzing gynecoloog verloskundige
18;*67.103;hospitalisatie materniteit/verloskunde
18;*67.104;verwijzing centrum IVF
18;*67.105;verwijzing gynecoloog
18;*67.106;verwijzing gynecologisch chirurg
18;*67.107;verwijzing sexuoloog
18;*67.108;hospitalisatie gynecologie
18;*38.09;genogram
18;*67.109;hospitalisatie gynecologische chirurgie
18;*38.07;calcium chemisch onderzoek van stenen
18;*33.87;IgE tomaat dosering
18;*38.08;ammonium chemisch onderzoek van stenen
18;*33.86;IgE pluimen parkieten dosering
18;*67.80;hospitalisatie afkikken alcohol
18;*38.05;cystine chemisch onderzoek van stenen
18;*33.85;IgE wit van ei dosering
13;U85;aangeboren afwijking urinewegen
18;*38.06;carbonaat chemisch onderzoek van stenen
18;*33.84;IgE Aspergillus fumigatus dosering
18;*67.82;hospitalisatie afkikken medicatie
18;*38.03;magnesium chemisch onderzoek van stenen
18;*67.81;hospitalisatie afkikken opiaten
18;*38.04;fosfaat chemisch onderzoek van stenen
;;
18;*67.84;verwijzing thoracaal chirurg
18;*38.01;urinezuur chemisch onderzoek van stenen
18;*33.89;IgE Penicillium notatum dosering
18;*67.83;verwijzing pneumoloog
18;*38.02;oxalaat chemisch onderzoek van stenen
18;*33.88;IgE epitheel van konijnen dosering
18;*67.74;verwijzing psychiater
;;
18;*38.11;opsoren Down syndroom tijdens zwangerschap
18;*67.75;verwijzing kinderpsychiater
18;*38.10;karyotype bepaling
18;*33.90;IgE haar- en huidschilfers paard dosering
18;*67.76;verwijzing neuropsychiater
18;*67.77;verwijzing slaapkliniek
;;andere ziekte cardiovasculair stelsel
18;*67.78;hospitalisatie psychiatrie
18;*33.93;IgE Cladosporium herbarum dosering
13;U80;letsel urinewegen
18;*67.79;hospitalisatie afkikken nicotine
18;*33.94;IgE amoxicillin dosering
18;*33.91;IgE appel dosering
18;*33.92;IgE soja dosering
;;cerebrovasculair accident (CVA)
;;
;;atherosclerose/ziekte perifere arteri‰n
6;K93;longembolie
18;*67.101;hospitalisatie urologie
;;phlebitis/thrombophlebitis
;;andere ziekte bloed/lymfestelsel/milt/immuunstelsel
18;*67.100;hospitalisatie nefrologie
;;
18;*41.187;echografie milt
18;*41.186;transoesofageale echografie van hart
18;*41.189;echografie speekselklieren en parotiden
18;*41.188;echografie andere lymfeorganen
18;*67.28;verwijzing arbeidsgeneesheer
18;*67.27;verwijzing adviserend geneesheer mutualiteit
18;*67.29;verwijzing geneesheer inspecteur hygi‰nist
18;*67.24;verwijzing geneesheer acupuncturist
18;*67.23;verwijzing verstrekker alternatieve geneeswijzen
18;*67.26;verwijzing geneesheer homeopaat
18;*41.181;duplexonderzoek diepliggende thoracale en/of abdominale en/of pelvische bloedvaten
18;*67.25;verwijzing geneesheer sofroloog
18;*41.180;complete urinaire echografie
18;*67.20;hospitalisatie algemene heelkunde
18;*41.183;endoluminale echografie ander dan transrectale of transvaginale
18;*41.182;transvaginale echografie
18;*67.22;hospitalisatie oncologie
18;*41.185;transthoracale echogarfie van hart
18;*67.21;hospitalisatie palliatieve zorgen
18;*41.184;duplexonderzoek bloedvaten ledematen bilateraal met kleurregistratie
18;*33.13;Mycoplasma hominis cultuur
18;*33.14;schimmelcultuur
18;*32.09;intradermotest
18;*33.11;anaerobe cultuur
18;*32.08;cutane allergietesten
18;*33.12;BK Cultuur
18;*32.07;stressgevoeligheidsonderzoek
18;*32.06;onderzoek pijn en tastzin
18;*33.10;groep B Streptoccen kweek
18;*32.05;intradermoreactie tuberculine
18;*32.04;tuberculine gevoeligheidstest nao
18;*32.03;gevoeligheids test medicatie
18;*32.02;gevoeligheids test industri‰le toxicologie
18;*32.01;gevoeligheidstest of allergietest
18;*33.19;Brucella AL dosering
18;*33.17;BK antibiogram
18;*33.18;antibiogram
18;*33.15;gistencultuur
18;*33.16;virale cultuur
18;*41.178;systematische echografische exploratie alle foetale orgaanstelsels
18;*41.177;functioneel echografisch onderzoek met biometrie en biofysisch profiel foetus
18;*41.176;echografische zwangerschapsevaluatie
18;*41.175;transrectale echografie
18;*67.19;hospitalisatie intesieve zorgen algemeen probleem
18;*67.18;hospitalisatie op pediatrie
18;*67.17;hospitalisatie op geriatrie
18;*67.16;hospitalisatie algemeen inwendige ziekten
18;*41.179;transoesophagale echocardiografie
18;*67.15;hospitalisatie
18;*41.170;echografie ‚‚n of meerdere ledematen
18;*67.14;verwijzing radiotherapeut
18;*67.13;verwijzing specialist in nucleaire geneeskunde
18;*67.12;verwijzing radioloog
18;*67.11;verwijzing anatomopatholoog
18;*41.174;volledig transthoracaal echografisch bilan hart
18;*67.10;verwijzing geneticus
18;*41.173;duplexonderzoek intracraniale vaten
18;*41.172;bilateraal duplexonderzoek arteria carotis en arteria vertebrales
18;*41.171;bilateraal duplexonderzoek carotisslagaders
18;*33.22;ASLO dosering
18;*33.23;malaria antigen dosering
18;*33.24;dikdruppel onderzoek malaria
18;*33.25;Yersinia type 3 AL dosering
18;*33.20;Salmonella O AL dosering
18;*33.21;Salmonella H AL dosering
18;*33.26;Yersinia type 9 AL dosering
18;*33.27;Borrelia burgdorferi AL dosering
18;*33.28;hepatitis C AL (EIA) dosering
18;*33.29;Chlamydia (psi./tra.) AL dosering
18;*67.49;hospitalisatie oftalmologie
18;*67.42;verwijzing orthodontist
18;*67.41;verwijzing gastointestinaal chirurg
18;*67.44;hospitalisatie stomatologie
18;*67.43;hospitalisatie gastrointestinaal probleem
18;*67.46;hospitalisatie gastroenterologie
18;*67.45;hospitalisatie gastrointestinale chirurgie
18;*67.48;verwijzing oogchirurg
18;*67.47;verwijzing oftalmoloog
18;*33.31;Cytomegalovirus IgM dosering
18;*33.32;Cytomegalovirus IgG dosering
18;*33.30;Mycoplasma pneumoniae AL (HAI) dosering
18;*33.35;hepatitis B s Ag (EIA) dosering
18;*33.36;hepatitis B e Ag (EIA) dosering
18;*67.50;verwijzing ORL neus-keel en oor
18;*33.33;hepatitis A IgM (EIA) dosering
18;*67.51;verwijzing audiophonologist
18;*33.34;hepatitis A AL IgG+IgM (EIA) dosering
18;*33.39;hepatitis B c AL (EIA) dosering
18;*33.37;hepatitis B s AL (EIA) dosering
18;*33.38;hepatitis B e AL (EIA) dosering
18;*67.39;verwijzing hepatoloog
18;*67.38;verwijzing gastroenteroloog
18;*41.199;radiografie middelvoet en metatarsotarsaal gewricht
18;*41.198;radiografie enkel en distale fibula en tibia gewricht
18;*41.197;radiografie onderbeen en distaal of proximaal gewricht
18;*67.33;verwijzing hematoloog
18;*41.196;radiografie 1 of meer vingers met MCP gewricht
18;*67.32;verwijzing administratief geneesheer
18;*41.195;radiografie middelhand met carpaal beenderen
18;*67.31;verwijzing geneesheer OCMW
18;*41.194;radiografie pols met distale radius en ulna gewricht
18;*67.30;verwijzing geneesheer RVA
18;*41.193;radiografie onderarm en distaal of proximaal gewricht
18;*67.37;verwijzing stomatoloog
18;*41.192;radiografie bovenarm en distaal of proximaal gewricht
18;*67.36;hospitalisatie hematologie
18;*41.191;radiografie schouder en scapulohumeraal gewricht
18;*67.35;verwijzing klinisch bioloog
18;*33.50;HIV1/HIV2 AL dosering
18;*41.190;echografie abdomen
18;*67.34;verwijzing HIV/AIDS specialist
18;*33.40;Varicella-zoster IgG dosering
18;*33.41; Bunnell
18;*33.42;Epstein Barr VCA IgG dosering
18;*33.43;Epstein Barr VCA IgM dosering
18;*33.44;bof IgG (EIA) dosering
18;*67.40;verwijzing proctoloog
18;*33.45;rubella IgG (EIA) dosering
18;*33.46;rubella IgM (EIA) dosering
18;*33.47;Varicella-zoster IgM dosering
18;*33.48;RSV IgG dosering
18;*33.49;RSV IgM dosering
18;*41.140;NMR-onderzoek orbita(e)
18;*41.141;NMR-onderzoek thorax
18;*41.142;NMR-onderzoek hals
18;*41.143;NMR-onderzoek bekken
18;*41.144;NMR-onderzoek abdomen
18;*41.145;MR-angiografie thoracale bloedvaten
18;*41.146;MR-angiografie abdominale bloedvaten
18;*41.147;MR-angiografie pelvische bloedvaten
18;*41.148;MR-angiografie bloedvaten lidmaat
18;*41.149;MR-angiografie halsvaten
18;*51.04;insnijden perianaal abces
18;*51.05;insnijden abces mondbodem
18;*51.06;ascites of pleuritis punctie
18;*51.07;evacuerende ascites of pleuritis punctie inclusief inspuiting of spoelen
18;*51.01;punctie koud abces
18;*41.130;computergestuurde tomografie of meer ledematen
18;*51.02;punctie hematopo‹etisch orgaan
18;*51.03;insnijden tong abces
18;*41.133;NMR-onderzoek hoofd
18;*41.134;NMR-onderzoek schedel
18;*41.131;computergestuurde tomografie gewricht ‚‚n of meer ledematen, met intra-articulair contrast
18;*41.132;fistulografie
18;*41.137;NMR-onderzoek rotsbeen
18;*41.138;NMR-onderzoek sinussen
18;*41.135;NMR-onderzoek hersenen
18;*41.136;NMR-onderzoek hypofyse
18;*41.139;NMR-onderzoek kaakgewrichten
18;*51.09;verwijdering corpus alienum oog
18;*51.08;insnijding van hemorro‹dale thrombose
18;*51.13;paracentese van trommelvlies
18;*41.160;echografie ‚‚n of beide ogen
18;*51.14;punctie pericarditis
18;*41.161;echografie hals
18;*51.11;verwijderen cerumenprop
18;*41.162;echografie thorax
18;*51.12;verwijderen corpus alienum gehoorgang
18;*41.163;echografie ‚‚n of beiden borsten
18;*51.17;lumbaalpunctie
18;*67.02;verwijzing geriater
18;*51.18;incisie hematoom neusseptum
18;*67.03;verwijzing pediater
18;*51.15;slagaderpunctie voor catheter
18;*67.04;verwijzing algemeen internist
18;*51.16;aderlating
18;*67.05;verwijzing oncoloog
18;*41.168;echografie vrouwelijk bekken
18;*67.06;verwijzing pijnspecialist
18;*41.169;echografie scrotum
18;*67.07;verwijzing anesthesist
18;*67.08;verwijzing algemeen chirurg
18;*67.09;verwijzing plastisch chirurg
18;*41.164;echografie lever en/of galblaas, en/of galwegen
18;*51.10;oogspoeling
18;*41.165;echografie pancreas en/of milt
18;*41.166;echografie nieren en/of bijnieren, en/of retroperitoneum, en/of bloedvaten
18;*41.167;echografie mannelijk bekken
18;*51.19;incisie abces neusseptum
18;*51.22;extractie corpus alienum pharynx
18;*41.151;NMR-onderzoek ‚‚n of beide mammae
18;*51.23;insnijden panaritium v d pulpa
18;*41.152;NMR-onderzoek thoracale wervelzuil
18;*51.24;insnijden en drainage panaritium vinger
18;*51.25;insnijden oppervlakkige phlegmone/ antrax
18;*41.150;morfologische en functionele MR-studie hart met globale en/of regionale cardiale functiemeting
18;*51.26;insnijden borstabces
18;*51.27;verwijderen corpus alienum met insnijding van weefsels
18;*51.28;nagel fenestratie
18;*51.29;insnijden periurethraal abces
18;*41.159;echografie transfontanelaire schedelinhoud
18;*41.157;volledige urinaire (nieren, ureters en blaas) echografie met Doppler
18;*41.158;bilaterale kleurendoppler
18;*41.155;NMR-onderzoek lidmaat
18;*41.156;functionele MR-studie hersenen (BOLD-techniek)
18;*51.20;incisie abces amandelen
18;*41.153;NMR-onderzoek lumbosacrale wervelzuil
18;*51.21;extractie corpus alienum neus
18;*41.154;NMR-onderzoek cervicale wervelzuil
18;*33.05;faecescultuur
18;*33.04;urinecultuur
18;*33.07;keelcultuur
18;*33.06;Clostridium difficile faeces onderzoek
18;*33.09;ettercultuur
18;*33.08;sputumcultuur
18;*33.01;bacterieel urine onderzoek
18;*33.03;BK Rechtstreeks onderzoek
18;*33.02;bacterieel etteronderzoek
18;*66.21;verwijzing SOS equipe
18;*66.20;verwijzing collectief anticonceptie
18;*66.23;verwijzing kind en gezin
18;*66.22;verwijzing familiehulp
18;*66.25;
18;*66.24;verwijzing gemeenschaps gezondheidscentrum
18;*66.27;verwijzing vestibulaire kinesitherapie
9;P80;persoonlijkheidsstoornis
18;*66.26;verwijzing logopedie
;;hyperkinetische stoornis
18;*66.29;verwijzing psycholoog
;;
18;*66.28;verwijzing kinesitherapie
18;*41.216;CT-scan hypofyse
18;*41.217;CT-scan rotsbeen
9;P85;mentale retardatie
18;*41.218;CT-scan kaak
;;
18;*41.219;CT-scan thorax
18;*41.213;CT-scan ‚‚n ledemaat
18;*41.212;CT-scan orbitae
18;*41.215;CT-scan schedel
18;*41.214;CT-scan hoofd
18;*41.211;echografie uterus/adnexen
18;*41.210;post IVF echografie
18;*66.32;verwijzing pre- en postnatale kinesitherapie
18;*66.31;verwijzing kine pelvische re‰ducatie
18;*66.30;verwijzing respiratoire kinesitherapie
18;*66.36;verwijzing abortuscentrum
18;*66.35;verwijzing bemiddelaar
18;*66.34;verwijzing gespicialiseerde dienst bij armoede
18;*66.33;verwijzing maatschappelijk werkster
18;*66.37;verwijzing huisarts
9;P98;psychose nao
18;*41.227;CT-scan sinussen
18;*41.226;CT-scan cervicale wervelzuil en ruggemerg
18;*41.225;CT-scan lumbosacrale wervelzuil en ruggemerg
18;*41.224;CT-scan thoracale wervelzuil en ruggemerg
18;*41.223;CT-scan ‚‚n of beide borsten
9;P99;andere psychische ziekte
18;*41.222;CT-scan abdomen
18;*41.221;CT-scan bekken
18;*41.220;CT-scan hals
18;*66.01;verwijzing verpleegkundige
18;*66.03;verwijzing tandarts
18;*66.02;verwijzing goederen beheerder
18;*66.09;verwijzing psychanalitisch therapeut
18;*66.08;verwijzing ergotherapeut
18;*66.05;verwijzing osteopaat
18;*66.04;verwijzing optometrist
18;*66.07;verwijzing rugschool
18;*66.06;verwijzing podoloog
18;*66.14;verwijzing hypnotherapie
18;*66.13;verwijzing psychosociale begeleider
18;*66.12;verwijzing relaxatietherapie
18;*66.11;verwijzing gedragstherapeut
18;*66.10;verwijzing systeemtherapeut
9;P75;somatisatiestoornis
9;P76;depressieve stoornis
9;P73;affectieve psychose
18;*66.19;verwijzing zelfhulpgroep zwangerschap en bevalling
;;angststoornis/angsttoestand
18;*66.18;verwijzing kinderverzorgster
;;andere organische psychose
18;*66.17;verwijzing vroedvrouw
9;P72;schizofrenie
18;*66.16;verwijzing di‰tiste
18;*66.15;verwijzing guidance center
;;
;;
;;
9;P77;su…cide/su…cidepoging
18;*55.02;loco-regionale infiltratie
18;*55.03;epidurale infiltartie (palliatieve zorg/pijn)
18;*55.01;loco-regionale verdovende infiltratie
18;*55.08;scleroserende injectie hemorro‹den
18;*55.09;infiltratie intra-articulair IA
18;*55.06;subconjunctivale inspuiting
18;*55.07;scleroserende inspuiting in aders wegens aderspatten
18;*55.04;scleroserende inspuiting anale fissuur
18;*55.05;anesthesi‰rende inspuiting aars
18;*55.20;infiltratie carpaaltunnel
18;*55.21;infiltratie ulnair peesschede
18;*55.24;epidurale infiltratie
18;*55.25;infiltratie kelo‹daal litteken
18;*55.22;alcoholisatie nervus trigeminus
18;*55.23;infiltratie nervus sympathicus
18;*55.26;injectie intracervicaal of parametria
18;*55.27;hormonale implantatie (vrouw)
;;andere ziekte geslachtsorganen man
18;*63.03;vervolgcontact controle osteoprothese
18;*41.208;echografie nieren
18;*63.04;vervolgcontact psychosociale begeleiding
18;*41.207;echografie van de blaas
18;*63.01;Follow-up contact niet gespecificeerd
18;*41.206;echografie andere endocriene organen
18;*63.02;vervolgcontact controle of verwijderen gips/verband
18;*55.10;infiltratie IA sacro-iliacaal
18;*41.205;echografie bijnieren
18;*63.07;vervolgcontact bij abortus
18;*55.11;infiltratie paravertebraal
18;*63.08;vervolgcontact risico gezin
18;*55.12;infiltratie IA schoudergewricht
18;*63.05;vervolgcontact cognitieve gedragstherapie CGT
18;*55.13;infiltratie IA elleboog
18;*63.06;vervolgcontact bij vrijwillige abortus
18;*55.14;infiltratie IA knie
18;*41.209;pre IVF echografie
18;*55.15;infiltratie loco dolenti
18;*55.16;infiltratie pees
18;*55.17;infiltratie epicondylus humeri
18;*55.18;infiltratie pees schouder
18;*55.19;anesthesi‰rende infiltratie bij verstuiking
;;
;;
18;*41.200;radiografie 1 of meer tenen en MTP gewricht
16;Y84;andere aangeboren afwijking geslachtsorganen man
16;Y83;niet ingedaalde testis
16;Y82;hypospadie
18;*41.203;echografie schildklier
;;
18;*41.204;echografie pancreas
16;Y80;letsel geslachtsorganen man
18;*41.201;echografie bewegingsapparaat
18;*41.202;botdensiometrie
;;depressief gevoel
;;
;;acute stressreactie
;;
9;P01;angstig/nerveus/gespannen gevoel
;;verminderd seksueel verlangen
18;*31.116;zaadstrengpalpatie
;;orchitis/epididymitis
;;slaapstoornis
18;*31.117;prostaatpalpatie
;;balanitis
9;P05;zich oud voelen/gedragen
18;*31.118;mamma inspectie bij de man
16;Y72;herpes genitalis man
;;prikkelbaar/boos gevoel/gedrag
18;*31.119;mamma palpatie bij de man
16;Y73;prostatitis/vesiculitis seminalis
7;L10;symptomen/klachten elleboog
16;Y78;andere maligniteit geslachtsorganen man
16;Y79;benigne/niet gespecificeerd neoplasma geslachtsorganen man
;;bezorgdheid over seksuele voorkeur
16;Y76;condylomata acuminata man
;;verminderde seksuele bevrediging
16;Y77;maligniteit prostaat
;;symptomen/klachten been/dijbeen
7;L13;symptomen/klachten heup
7;L12;symptomen/klachten hand/vinger
7;L11;symptomen/klachten pols
7;L17;symptomen/klachten voet/teen
;;spierpijn
7;L15;symptomen/klachten knie
7;L16;symptomen/klachten enkel
;;symptomen/klachten spier nao
18;*31.113;scrotuminspectie
18;*31.112;penispalpatie
18;*31.115;testispalpatie
18;*31.114;scrotumpalpatie
18;*31.111;penisinspectie
18;*31.110;seksuele maturiteitonderzoek
9;P12;enuresis
;;eetprobleem bij kind
18;*31.109;maagdelijkheidsonderzoek
9;P13;encopresis/problemen toilettraining
9;P16;acuut alcoholmisbruik
18;*31.107;uteruspalpatie
18;*67.110;verwijzing androloog
;;
18;*31.108;adnexenpalpatie
18;*67.111;hospitalisatie sociaal probleem
9;P18;geneesmiddelmisbruik
18;*31.105;vulvapalpatie
;;
18;*31.106;vagina onderzoek
;;
;;symptomen/klachten nek
;;symptomen/klachten lage-rug
;;
7;L02;symptomen/klachten rug
;;cystitis/andere urineweginfectie
;;symptomen/klachten borstkas
7;L05;symptomen/klachten flank/oksel
;;
13;U75;maligniteit nier
;;symptomen/klachten kaak
7;L08;symptomen/klachten schouder
13;U77;andere maligniteit urinewegen
;;symptomen/klachten arm
13;U76;maligniteit blaas
;;niet gespecificeerd neoplasma urinewegen
13;U78;benigne neoplasma urinewegen
18;*31.104;vulvainspectie
18;*31.103;borstinspectie
18;*31.102;borstpalpatie
18;*31.101;post IVF onderzoek
18;*31.100;pre IVF onderzoek
;;stamelen/stotteren/tic
18;*31.131;diagnostisch onderzoek bij nog niet bevestigde zwangerschap
18;*31.130;klinisch onderzoek skeletstelsel
18;*31.129;klinisch onderzoek wervelzuil
18;*31.127;klinisch onderzoek elleboog
18;*31.128;klinisch onderzoek pols en hand
18;*31.122;klinisch onderzoek heupgewricht
18;*31.121;testisonderzoek met doorlichting
18;*31.120;Sexuele maturiteitonderzoek
18;*31.126;klinisch onderzoek schouder
18;*31.125;klinisch onderzoek voet
18;*31.124;klinisch onderzoek enkelgewricht
18;*31.123;klinisch onderzoek kniegewricht
;;angst voor andere ziekte urinewegen
13;U28;functiebeperking/handicap (U)
13;U26;angst voor kanker urinewegen
;;andere symptomen/klachten urinewegen
16;Y29;andere symptomen/klachten geslachtsorganen man
16;Y24;angst voor seksueel disfunctioneren man
16;Y26;angst voor kanker geslachtsorganen man
;;angst voor seksueel overdraagbare aandoening man (SOA)
;;functiebeperking/handicap (Y)
;;angst voor andere ziekte geslachtsorganen man
16;Y16;symptomen/klachten borst(en) man
16;Y14;andere vorm van geboorteregeling man
16;Y13;sterilisatie man
16;Y10;infertiliteit/subfertiliteit man
9;P28;functiebeperking/handicap (P)
9;P29;andere psychische symptomen/klachten
9;P27;angst voor psychische ziekte
;;specifiek leerprobleem
;;levensfaseprobleem volwassene
;;gedragsprobleem kind
;;gedragsprobleem adolescent
9;P20;geheugenstoornis
13;U07;andere symptomen/klachten urine
13;U08;urineretentie
13;U05;ander mictieprobleem
13;U06;hematurie
18;*50.1;voorschrift medicatie
13;U04;urine-incontinentie
;;pijnlijke mictie
13;U02;frequente mictie/aandrang
;;impotentie nao
;;symptomen/klachten seksuele functie man nao
;;andere symptomen/klachten penis
16;Y03;afscheiding urethra man
;;symptomen/klachten prostaat
;;andere symptomen/klachten scrotum/testis
7;L20;symptomen/klachten gewricht nao
16;Y02;pijn testis/scrotum
;;pijn penis
;;vergrote/pijnlijke lymfeklier(en)
;;symptomen/klachten bloed
13;U14;symptomen/klachten nier
13;U13;andere symptomen/klachten blaas
7;L27;angst voor andere ziekte bewegingsapparaat
7;L26;angst voor kanker bewegingsapparaat
7;L29;andere symptomen/klachten bewegingsapparaat
;;functiebeperking/handicap (L)
1;A29;andere algemene symptomen/klachten
1;A28;functiebeperking/handicap nao
;;
;;angst voor andere ziekte nao
;;leverziekte nao
1;A26;angst voor kanker nao
;;
1;A25;angst voor de dood/het sterven
3;D95;anusfissuur/perianaal abces
;;risicofactor nao
1;A21;risicofactor voor kanker
;;andere ziekte spijsverteringsorganen
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;verstuiking/distorsie knie
18;*45.03;Uitleg resultaten bloed /beelvorming/ onderzoek RX
7;L77;verstuiking/distorsie enkel
18;*45.04;uitleg of motivatie bloedafname/beeldvorming/onderzoek
18;*45.01;geruststelling / afwachten
;;verstuiking/distorsie gewricht nao
18;*45.02;t algemeen
;;
18;*45.07;algemeen preventief advies
;;ziekte oesophagus
